test_run_id,agent_version,provider,model,test_case_id,attempt,metric_name,numerator,denominator,score,threshold,passed,explanation
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,attribution_accuracy,1,1,1.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,date_accuracy,1,1,1.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,detection_rate,1,1,1.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,hallucination_rate,0,1,0.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,negation_false_negative,0,1,0.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,negation_false_positive,0,1,0.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,negation_handling,1,1,1.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,schema_adherence,1,1,1.0000,,,
c7bc44dc-2f6e-4293-8e3a-7e2cfbbfba96,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,1,type_accuracy,1,1,1.0000,,,
9a8c4c6d-1703-442c-a9aa-eec0498b0124,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,2,attribution_accuracy,1,1,1.0000,,,
9a8c4c6d-1703-442c-a9aa-eec0498b0124,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,2,date_accuracy,1,1,1.0000,,,
9a8c4c6d-1703-442c-a9aa-eec0498b0124,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,2,detection_rate,1,1,1.0000,,,
9a8c4c6d-1703-442c-a9aa-eec0498b0124,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,2,hallucination_rate,0,1,0.0000,,,
9a8c4c6d-1703-442c-a9aa-eec0498b0124,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,2,negation_false_negative,0,1,0.0000,,,
9a8c4c6d-1703-442c-a9aa-eec0498b0124,v0,anthropic,anthropic/claude-haiku-4-5,memo_001,2,negation_false_positive,0,1,0.0000,,,
